location,route,year,month,hour,distance,direction,지점명,level,cause_L,cause_S,dead,injury,acc_cars,week,weather,day_night,pattern,pave,dir_curv,slope,surface_condition,pavment_condition,car_type,car_standard,gender,age,defeat,arrive_time,ambulance_arrive_time,people_rescue_time,towtruck_arrive_time,rescue_time,block_time,handling_time,state,damage,최초사고지점_도로시설
시흥지사,서울외곽순환,2005,6,0,18.2,일산,본선,C,운전자과실,음주,0,0,1,월요일,맑음,야간,단독,콘크리트,직선,평탄,습기,양호,화물(중형),,남자,40~50,1,10,0,0,0,0,15,30,2,0,본선
인천지사,서울외곽순환,2005,6,15,36.8,일산,장수IC전방,C,기타,노면잡물,0,0,1,목요일,맑음,주간,차-시설,아스팔트,우커브 500 이상,평탄,건조,양호,승용(자가),,여자,40~50,1,28,0,0,0,0,0,43,2,511470,교량
시흥지사,서울외곽순환,2005,6,16,14.9,일산,산본I/C진입부,C,차량결함,타이어 파손,0,0,1,금요일,흐림,주간,차-시설,아스팔트,우커브 500 미만,평탄,건조,양호,승용(자가),,여자,40~50,1,10,0,0,0,0,0,10,2,458600,진출입부
시흥지사,서울외곽순환,2005,6,4,21,일산,본선,C,운전자과실,졸음,0,1,1,월요일,맑음,야간,단독,콘크리트,우커브 500 미만,평탄,건조,양호,승용(JEEP),,남자,30~40,1,5,0,0,0,0,20,25,4,1537000,본선
시흥지사,서울외곽순환,2005,6,6,30,일산,램프,C,운전자과실,졸음,0,0,1,일요일,맑음,주간,차-시설,콘크리트,직선,평탄,건조,양호,승용(자가),,남자,40~50,2,5,0,0,0,0,15,20,4,5208654,진출입부
동서울지사,서울외곽순환,2005,6,21,6.6,일산,청계,C,운전자과실,주시태만,0,0,1,수요일,맑음,야간,차-시설,콘크리트,직선,평탄,건조,양호,화물(소형),1톤,남자,40~50,2,30,0,0,0,0,5,35,2,1406000,TG
시흥지사,서울외곽순환,2005,6,18,19.8,일산,본선,B,운전자과실,핸들과대조작,1,0,2,일요일,비,주간,차-시설,아스팔트,직선,내리막 3% 미만,습기,양호,승합(중형),25인승,남자,40~50,3,15,0,0,0,0,55,55,4,1278000,본선
시흥지사,서울외곽순환,2005,7,6,21,일산,본선,C,운전자과실,핸들과대조작,0,0,1,일요일,비,주간,차-시설,콘크리트,직선,평탄,습기,양호,승용(자가),,남자,30~40,1,0,0,0,0,0,5,5,2,377800,본선
시흥지사,서울외곽순환,2005,7,7,23.5,일산,본선,C,운전자과실,기타,0,0,1,토요일,비,주간,차-시설,콘크리트,좌커브 500 이상,오르막 3% 미만,습기,양호,화물(중형),8톤,남자,50~60,1,5,0,0,0,0,30,40,4,443800,본선
동서울지사,서울외곽순환,2005,7,7,12.5,일산,본선,C,차량결함,타이어 파손,0,0,2,토요일,비,주간,차-시설,아스팔트,좌커브 500 미만,평탄,습기,양호,승용(영업),,남자,30~40,3,7,0,0,0,0,20,20,2,2165900,본선
인천지사,서울외곽순환,2005,7,9,41.3,일산,중동IC(일산) 진출부,C,운전자과실,안전거리미확보,0,0,1,토요일,비,주간,차-시설,아스팔트,직선,내리막 3% 미만,습기,양호,화물(소형),2.5톤,남자,40~50,1,3,0,0,0,0,35,40,2,1233000,진출입부
시흥지사,서울외곽순환,2005,7,15,32.1,일산,시흥,C,운전자과실,주시태만,0,0,1,토요일,흐림,주간,차-시설,콘크리트,직선,평탄,건조,양호,화물(소형),1톤,남자,50~60,1,0,0,0,0,0,0,25,4,2195000,TG
동서울지사,서울외곽순환,2005,7,18,3.7,일산,본선,C,운전자과실,핸들과대조작,0,0,2,일요일,흐림,야간,차-시설,콘크리트,직선,오르막 3% 미만,건조,양호,특수차량,,남자,40~50,3,10,0,0,0,0,30,30,2,3421000,본선
시흥지사,서울외곽순환,2005,7,11,19.8,일산,본선,C,차량결함,타이어 파손,0,0,1,수요일,흐림,주간,차-시설,콘크리트,직선,평탄,건조,양호,화물(중형),1톤,남자,60세 이상,1,10,0,0,0,0,20,55,2,1959900,본선
동서울지사,서울외곽순환,2005,7,19,6.7,일산,청계,B,운전자과실,기타,1,5,2,금요일,맑음,야간,차-시설,콘크리트,직선,평탄,건조,양호,화물(중형),2.5톤,남자,20~30,4,15,0,0,0,0,120,120,2,11014000,TG
인천지사,서울외곽순환,2005,7,0,42,일산,본선,C,운전자과실,음주,0,0,1,공휴일,흐림,야간,차-시설,아스팔트,직선,평탄,건조,양호,승용(자가),,남자,30~40,1,0,0,0,0,0,14,17,2,1569330,본선
시흥지사,서울외곽순환,2005,7,14,24.6,일산,본선,B,운전자과실,졸음,0,0,2,월요일,맑음,주간,추돌,콘크리트,직선,평탄,건조,양호,화물(소형),2.5톤,남자,40~50,4,10,0,0,0,0,75,90,4,0,본선
인천지사,서울외곽순환,2005,7,6,52.6,일산,김포I/C(하)진출램프,C,운전자과실,과속,0,0,1,화요일,맑음,주간,차-시설,아스팔트,우커브 500 미만,내리막 3% 미만,건조,양호,화물(중형),2.5톤,남자,40~50,2,7,0,0,0,0,10,30,2,1423840,램프
인천지사,서울외곽순환,2005,7,0,41.1,일산,중동I/C,C,운전자과실,졸음,0,0,1,토요일,흐림,야간,차-시설,아스팔트,직선,평탄,건조,양호,화물(대형),25톤,남자,40~50,1,10,0,0,0,0,0,30,2,4520300,진출입부
동서울지사,서울외곽순환,2005,7,10,1.8,일산,본선,C,운전자과실,핸들과대조작,0,1,1,일요일,흐림,주간,차-시설,콘크리트,직선,오르막 3% 미만,건조,양호,승합(소형),9인승,여자,30~40,1,10,0,0,0,0,20,20,2,539700,본선
인천지사,서울외곽순환,2005,8,14,51.9,일산,김포,C,운전자과실,주시태만,0,0,1,화요일,흐림,주간,차-시설,아스팔트,직선,평탄,건조,양호,화물(중형),3.5톤,남자,50~60,2,15,0,0,0,0,1,20,2,2057000,TG
시흥지사,서울외곽순환,2005,8,1,15.3,일산,본선,C,운전자과실,음주,0,2,1,수요일,비,야간,차-시설,아스팔트,직선,평탄,습기,양호,승용(자가),,남자,30~40,0,10,0,0,0,0,30,30,4,2315300,본선
