location,route,direction,distance,level,year,month,week,day_night,hour,weather,age,gender,cause_L,cause_S,pattern,pave,dir_curv,slope,surface_condition,pavment_condition,car_type,car_standard,최초사고지점_도로시설,지점명,dead,injury,acc_cars,defeat,state,arrive_time,ambulance_arrive_time,people_rescue_time,towtruck_arrive_time,rescue_time,block_time,handling_time,damage,danger_point
시흥지사,서울외곽순환,일산,18.2,C,2005,6,월요일,야간,0,맑음,40,남자,운전자과실,음주,단독,콘크리트,직선,평탄,습기,양호,화물(중형),,본선,본선,0,0,1,1,2,10,0,0,0,0,15,30,0,70
인천지사,서울외곽순환,일산,36.8,C,2005,6,목요일,주간,15,맑음,40,여자,기타,노면잡물,차-시설,아스팔트,우커브 500 이상,평탄,건조,양호,승용(자가),,교량,장수IC전방,0,0,1,1,2,28,0,0,0,0,0,43,511470,70
시흥지사,서울외곽순환,일산,14.9,C,2005,6,금요일,주간,16,흐림,40,여자,차량결함,타이어 파손,차-시설,아스팔트,우커브 500 미만,평탄,건조,양호,승용(자가),,진출입부,산본I/C진입부,0,0,1,1,2,10,0,0,0,0,0,10,458600,70
시흥지사,서울외곽순환,일산,21,C,2005,6,월요일,야간,4,맑음,30,남자,운전자과실,졸음,단독,콘크리트,우커브 500 미만,평탄,건조,양호,승용(JEEP),,본선,본선,0,1,1,1,4,5,0,0,0,0,20,25,1537000,130
시흥지사,서울외곽순환,일산,30,C,2005,6,일요일,주간,6,맑음,40,남자,운전자과실,졸음,차-시설,콘크리트,직선,평탄,건조,양호,승용(자가),,진출입부,램프,0,0,1,2,4,5,0,0,0,0,15,20,5208654,115
동서울지사,서울외곽순환,일산,6.6,C,2005,6,수요일,야간,21,맑음,40,남자,운전자과실,주시태만,차-시설,콘크리트,직선,평탄,건조,양호,화물(소형),1톤,TG,청계,0,0,1,2,2,30,0,0,0,0,5,35,1406000,85
시흥지사,서울외곽순환,일산,19.8,B,2005,6,일요일,주간,18,비,40,남자,운전자과실,핸들과대조작,차-시설,아스팔트,직선,내리막 3% 미만,습기,양호,승합(중형),25인승,본선,본선,1,0,2,3,4,15,0,0,0,0,55,55,1278000,255
시흥지사,서울외곽순환,일산,21,C,2005,7,일요일,주간,6,비,30,남자,운전자과실,핸들과대조작,차-시설,콘크리트,직선,평탄,습기,양호,승용(자가),,본선,본선,0,0,1,1,2,0,0,0,0,0,5,5,377800,70
시흥지사,서울외곽순환,일산,23.5,C,2005,7,토요일,주간,7,비,50,남자,운전자과실,기타,차-시설,콘크리트,좌커브 500 이상,오르막 3% 미만,습기,양호,화물(중형),8톤,본선,본선,0,0,1,1,4,5,0,0,0,0,30,40,443800,100
동서울지사,서울외곽순환,일산,12.5,C,2005,7,토요일,주간,7,비,30,남자,차량결함,타이어 파손,차-시설,아스팔트,좌커브 500 미만,평탄,습기,양호,승용(영업),,본선,본선,0,0,2,3,2,7,0,0,0,0,20,20,2165900,125
인천지사,서울외곽순환,일산,41.3,C,2005,7,토요일,주간,9,비,40,남자,운전자과실,안전거리미확보,차-시설,아스팔트,직선,내리막 3% 미만,습기,양호,화물(소형),2.5톤,진출입부,중동IC(일산) 진출부,0,0,1,1,2,3,0,0,0,0,35,40,1233000,70
시흥지사,서울외곽순환,일산,32.1,C,2005,7,토요일,주간,15,흐림,50,남자,운전자과실,주시태만,차-시설,콘크리트,직선,평탄,건조,양호,화물(소형),1톤,TG,시흥,0,0,1,1,4,0,0,0,0,0,0,25,2195000,100
동서울지사,서울외곽순환,일산,3.7,C,2005,7,일요일,야간,18,흐림,40,남자,운전자과실,핸들과대조작,차-시설,콘크리트,직선,오르막 3% 미만,건조,양호,특수차량,,본선,본선,0,0,2,3,2,10,0,0,0,0,30,30,3421000,125
시흥지사,서울외곽순환,일산,19.8,C,2005,7,수요일,주간,11,흐림,60,남자,차량결함,타이어 파손,차-시설,콘크리트,직선,평탄,건조,양호,화물(중형),1톤,본선,본선,0,0,1,1,2,10,0,0,0,0,20,55,1959900,70
동서울지사,서울외곽순환,일산,6.7,B,2005,7,금요일,야간,19,맑음,20,남자,운전자과실,기타,차-시설,콘크리트,직선,평탄,건조,양호,화물(중형),2.5톤,TG,청계,1,5,2,4,2,15,0,0,0,0,120,120,11014000,390
인천지사,서울외곽순환,일산,42,C,2005,7,공휴일,야간,0,흐림,30,남자,운전자과실,음주,차-시설,아스팔트,직선,평탄,건조,양호,승용(자가),,본선,본선,0,0,1,1,2,0,0,0,0,0,14,17,1569330,70
시흥지사,서울외곽순환,일산,24.6,B,2005,7,월요일,주간,14,맑음,40,남자,운전자과실,졸음,추돌,콘크리트,직선,평탄,건조,양호,화물(소형),2.5톤,본선,본선,0,0,2,4,4,10,0,0,0,0,75,90,0,170
인천지사,서울외곽순환,일산,52.6,C,2005,7,화요일,주간,6,맑음,40,남자,운전자과실,과속,차-시설,아스팔트,우커브 500 미만,내리막 3% 미만,건조,양호,화물(중형),2.5톤,램프,김포I/C(하)진출램프,0,0,1,2,2,7,0,0,0,0,10,30,1423840,85
인천지사,서울외곽순환,일산,41.1,C,2005,7,토요일,야간,0,흐림,40,남자,운전자과실,졸음,차-시설,아스팔트,직선,평탄,건조,양호,화물(대형),25톤,진출입부,중동I/C,0,0,1,1,2,10,0,0,0,0,0,30,4520300,70
동서울지사,서울외곽순환,일산,1.8,C,2005,7,일요일,주간,10,흐림,30,여자,운전자과실,핸들과대조작,차-시설,콘크리트,직선,오르막 3% 미만,건조,양호,승합(소형),9인승,본선,본선,0,1,1,1,2,10,0,0,0,0,20,20,539700,100
인천지사,서울외곽순환,일산,51.9,C,2005,8,화요일,주간,14,흐림,50,남자,운전자과실,주시태만,차-시설,아스팔트,직선,평탄,건조,양호,화물(중형),3.5톤,TG,김포,0,0,1,2,2,15,0,0,0,0,1,20,2057000,85
시흥지사,서울외곽순환,일산,15.3,C,2005,8,수요일,야간,1,비,30,남자,운전자과실,음주,차-시설,아스팔트,직선,평탄,습기,양호,승용(자가),,본선,본선,0,2,1,0,4,10,0,0,0,0,30,30,2315300,145
시흥지사,서울외곽순환,일산,20.8,C,2005,8,목요일,주간,14,맑음,20,남자,운전자과실,주시태만,차-시설,콘크리트,직선,평탄,건조,양호,승용(자가),,본선,본선,0,0,1,2,2,30,0,0,0,0,0,30,326500,85
시흥지사,서울외곽순환,일산,28,C,2005,8,토요일,주간,15,맑음,20,남자,차량결함,엔진과열,화재,콘크리트,직선,오르막 3% 미만,건조,양호,화물(소형),1톤,본선,본선,0,0,1,0,5,12,0,0,0,0,15,40,2591100,100
인천지사,서울외곽순환,일산,44,C,2005,8,금요일,주간,13,흐림,30,남자,운전자과실,핸들과대조작,추돌,아스팔트,직선,오르막 3% 미만,건조,양호,승용(JEEP),,램프,서운JC(부천-인천 분기점),0,0,4,7,2,5,0,0,0,0,1,65,1277460,235
동서울지사,서울외곽순환,일산,13.5,C,2005,8,토요일,주간,6,흐림,40,남자,차량결함,엔진과열,화재,아스팔트,우커브 500 미만,평탄,건조,양호,승합(소형),9인승,본선,본선,0,0,1,0,5,25,0,0,0,0,15,40,1139600,100
